speaker;feature;eta_squared;f_stat;p_value;n_total
;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;0.013630114264182149;120.87353711982641;1.2840449584106282e-102;34994
;MeanVoicedSegmentLengthSec;0.012966054226828007;114.9072109640345;1.5861770080025285e-97;34994
;F2bandwidth_sma3nz_amean;0.012867691523162415;114.02414216353601;8.998607159371047e-97;34994
;StddevVoicedSegmentLengthSec;0.010553276704070044;93.29673591942087;4.583869184899863e-79;34994
;F1amplitudeLogRelF0_sma3nz_amean;0.010521741206707663;93.01498032166515;7.981609532707181e-79;34994
;F1amplitudeLogRelF0_sma3nz_stddevNorm;0.010154875564488082;89.73851877294909;5.049387942855994e-76;34994
;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;0.009754117246681692;86.16213767918391;5.772106494990115e-73;34994
;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;0.008832347542202551;77.94720887728005;6.13156125909575e-66;34994
;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;0.006575779102062046;57.9007261354278;8.677484339844756e-49;34994
;F3bandwidth_sma3nz_stddevNorm;0.0063439934033416865;55.846787951744254;4.959632190217382e-47;34994
;mfcc4V_sma3nz_stddevNorm;0.0015676556875223548;13.734206719958069;3.4172829899278135e-11;34994
;F3bandwidth_sma3nz_amean;0.0015495449651253754;13.575292722681471;4.641184024623604e-11;34994
;logRelF0-H1-H2_sma3nz_stddevNorm;0.0013930943133634698;12.202743805571584;6.494767375249981e-10;34994
;mfcc4_sma3_stddevNorm;0.00041537129027545075;3.634866337982723;0.0057647950660812885;34994
;mfcc3V_sma3nz_stddevNorm;0.00037107767607288787;3.247114133595206;0.011342351477036505;34994
;mfcc3_sma3_stddevNorm;0.00027164855000547344;2.376823439676385;0.04961849026999301;34994
;mfcc2V_sma3nz_stddevNorm;0.00010487449034939446;0.9174596038171071;0.4525407654152851;34994
;mfcc2_sma3_stddevNorm;4.573307160436833e-05;0.40005690642245817;0.8087495803112636;34994
;slopeV500-1500_sma3nz_stddevNorm;9.788478129011726e-06;0.08562310343387311;0.9869079721415623;34994
