dataset,condition,removed,removed_rank,acc_cv_pred,f1_macro_cv_pred,precision_macro_cv_pred,recall_macro_cv_pred,acc_mean,acc_std,f1_macro_mean,f1_macro_std
ESD,baseline,none,0,0.7680459507344116,0.7674876429322084,0.7671936776502097,0.7680479145701778,0.7680538228800392,0.06372557507220845,0.765624914603347,0.06713630412051051
ESD,remove_language,language,1,0.7667885923301138,0.7662338021675221,0.7659200391571584,0.7667905920710383,0.7667964837680923,0.06451779925079608,0.7643252890721703,0.06789134512364353
ESD,remove_speaker,speaker,20,0.7724752814768246,0.7716746607090319,0.7711589005257213,0.7724769349923231,0.7724821980538066,0.05815232176959907,0.770028412487596,0.06279481320509062
ESD,remove_gender,gender,1,0.7660456078184832,0.7653922171852561,0.7650515685129171,0.7660475022267121,0.7660538719437403,0.06416400940973536,0.7634866351561742,0.06794437751884724
ESD,remove_ALL_nuisance,language+speaker+gender,22,0.7720466365662685,0.7713406616215628,0.7709164871382297,0.7720482574028065,0.7720534794341319,0.05800645738428712,0.7696384275273738,0.06270379234703029
